nom_entreprise,domaine_activite,date_creation,forme_juridique,ville_siege,effectif,annee_effectif,capital,sites_internet,chiffre_affaires,resultat,annee_finances
GESTIMUM,Édition,2004-09-22,"SAS, société par actions simplifiée",RAMBOUILLET,Entre 10 et 19 salariés,2022,450000,gestimum.com,,,
VEHIZEN,Édition,2014-07-01,"SAS, société par actions simplifiée",VENDARGUES,Entre 10 et 19 salariés,2022,333500,vehizen.com,1320701,209985,2023
MDB PROCUREMENT,Édition,2003-08-01,"SASU, société par actions simplifiée unipersonnelle",GOUESNOU,Entre 20 et 49 salariés,2022,2443478.24,adoria.com,5066821,-265354,2024
SGPI,Édition,1998-01-01,"SAS, société par actions simplifiée",PACE,Entre 10 et 19 salariés,2022,250000,"sgpi.fr, sgpi.eu",,119046,2017
DELTA-CE,Édition,2012-09-12,"SARL, société à responsabilité limitée",LOGNES,Entre 20 et 49 salariés,2022,10500,,,77720,2019
HEALTHY MIND,Édition,2017-12-01,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,97910.4,"healthymind.fr, neuromind.fr",,148509,2024
FORTIA FINANCIAL SOLUTIONS,Édition,2012-01-02,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,26308,,3073039,-2879094,2021
HEREDIS,Édition,1994-01-01,"SCOP, SARL coopérative ouvrière de production",MONTPELLIER,Entre 20 et 49 salariés,2022,70000,"presta-staging.heredis.com, home.heredis.com, heredis.fr",,-156788,2025
DELTA RM,Édition,2013-06-04,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,347763,deltarm.com,,30050,2017
QONFUCIUS,Édition,2017-12-22,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 10 et 19 salariés,2022,18088,qonfucius.com,,-109537,2023
PROMYZE,Édition,2016-03-01,"SAS, société par actions simplifiée",BORDEAUX,Entre 10 et 19 salariés,2022,32671,"packmind.com, promyze.com, promyze.app",,,
KLEE COMMERCE,Édition,2012-06-20,"SAS, société par actions simplifiée",LE PLESSIS ROBINSON,Entre 20 et 49 salariés,2022,1641000,kleecommerce.com,5641596,-850057,2024
ALTIOR,Édition,2019-09-12,"SAS, société par actions simplifiée",NANTES,Entre 20 et 49 salariés,2022,96633,altior.fr,124772,7263,2021
ELITEO,Édition,2022-01-11,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,10000,eliteo.io,,,
3SHAPE FRANCE SAS,Édition,2017-10-20,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,100000,"pages.3shape.com, 3shape.com",,142263,2023
SINARI TMS ENTREPRISE,Édition,1985-07-01,"SAS, société par actions simplifiée",CESSON-SEVIGNE,Entre 20 et 49 salariés,2022,1000000,omp-it.com,11112302,732442,2017
EVENIUM,Édition,2000-02-15,SA à conseil d'administration (s.a.i.),PARIS,Entre 10 et 19 salariés,2022,68304,"evenium-conseil.fr, eveniums.fr, corp.evenium.com, evenium-conseils.fr, evenium.com",4202025,427632,2018
BS DIGITAL,Édition,2017-11-03,"SAS, société par actions simplifiée",TILLE,Entre 10 et 19 salariés,2022,15000,bs.digital,2756500,25579,2024
MADKUDU SAS,Édition,2018-09-03,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 10 et 19 salariés,2023,10000,madkudu.com,1732999,155796,2023
PAARLY,Édition,2014-06-01,"SAS, société par actions simplifiée",TOULOUSE,Entre 20 et 49 salariés,2022,173710.26,"fr.paarly.com, fr.sunpricer.com, paarly.com",,-974833,2022
GRYZZLY,Édition,2018-03-02,"SAS, société par actions simplifiée",LYON,Entre 10 et 19 salariés,2022,17230,"help.gryzzly.io, gryzzly.io",,-437848,2024
LIVING ACTOR,Édition,1999-09-01,"SAS, société par actions simplifiée",CHARBONNIERES-LES-BAINS,Entre 10 et 19 salariés,2022,1141213,,1109177,113858,2024
EURIS HEALTH DIGITAL SOLUTION,Édition,2000-03-08,"SAS, société par actions simplifiée",BOULOGNE-BILLANCOURT,Entre 10 et 19 salariés,2022,403584.75,,1343338,154630,2019
THE TINY DIGITAL FACTORY,Édition,2017-10-25,"SAS, société par actions simplifiée",LYON,Entre 20 et 49 salariés,2022,72059.3,"tinydigitalfactory.com, infinitedrive.fr",,-840456,2023
CENTRAL TEST,Édition,2002-04-09,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,903149,"test-and-go.com, centraltest.fr",4695884,336971,2023
RIMAONE,Édition,2001-06-01,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,1466991,rimaone.com,1779176,44883,2022
UVR UNITED VISUAL RESEARCHERS,Édition,2017-08-01,"SAS, société par actions simplifiée",LAVAL,Entre 10 et 19 salariés,2022,29892,united-vr.com,,-724641,2024
VEGA FRANCE,Édition,2002-01-03,"SARL, société à responsabilité limitée",TOULOUSE,Entre 10 et 19 salariés,2022,59500,"vegafrance.fr, vegafrance.eu",,-118718,2023
MILESTONE SYSTEMS FRANCE,Édition,2007-11-26,"SARL, société à responsabilité limitée",RUEIL-MALMAISON,Entre 10 et 19 salariés,2022,10000,,1986988,45103,2021
AGENDIZE,Édition,2003-07-01,"SAS, société par actions simplifiée",LYON,Entre 20 et 49 salariés,2022,223850,"agendize.fr, agendize.com",,-1162980,2023
IBEXA,Édition,2006-01-17,"SARL, société à responsabilité limitée",LYON,Entre 10 et 19 salariés,2022,50000,ibexa.co,4489216,-340062,2022
ODEIS,Édition,1992-11-09,"SAS, société par actions simplifiée",SEYSSINET-PARISET,Entre 20 et 49 salariés,2022,166864,odeis.net,6151646,1310601,2023
CEFA AVIATION,Édition,2000-08-01,"SAS, société par actions simplifiée",COLMAR,Entre 10 et 19 salariés,2022,40160,cefa-aviation.com,,195815,2024
IGA*A IGA.ASSURANCES,Édition,2000-11-28,"SAS, société par actions simplifiée",MALAKOFF,Entre 20 et 49 salariés,2022,100408,"iga-assurance.fr, iga.fr",13235610,7053583,2023
HAIKARA,Édition,2005-11-17,"SARL, société à responsabilité limitée",PARIS,Entre 10 et 19 salariés,2022,200000,,838278,26683,2024
NOTOCORD SYSTEMS,Édition,1989-05-10,"SAS, société par actions simplifiée",LE PECQ,Entre 20 et 49 salariés,2022,22980,,1087237,-678641,2022
SYNOMIA,Édition,2000-07-26,SA à conseil d'administration (s.a.i.),BOULOGNE-BILLANCOURT,Entre 20 et 49 salariés,2022,1698270,synomia.fr,,-177116,2019
LL LOOP LOGISTICS,Édition,2019-03-11,"SAS, société par actions simplifiée",CLICHY,Entre 20 et 49 salariés,2022,3508.12,lizee.co,,,
ITO 33,Édition,1998-11-17,SA à conseil d'administration (s.a.i.),PARIS,Entre 10 et 19 salariés,2022,38625.7,"ito33.fr, ito33.com",4843332,1382633,2023
LIMBER,Édition,2015-02-01,"SAS, société par actions simplifiée",BOULOGNE-BILLANCOURT,Entre 10 et 19 salariés,2022,185872,limber.io,,-13356,2019
KLAXOON,Édition,2009-03-31,"SAS, société par actions simplifiée",CESSON-SEVIGNE,Entre 10 et 19 salariés,2022,1249519,klaxoon.fr,3388311,-861447,2020
CDIP CENTRE DE DEVELOPPEMENT INFORMATIQUE,Édition,1992-01-10,"SAS, société par actions simplifiée",CERGY,Entre 10 et 19 salariés,2022,8000,"boutique.cdip.com, cdip.com",,-38564,2024
HAPPYCOLIS,Édition,2020-02-19,"SAS, société par actions simplifiée",AIX-EN-PROVENCE,Entre 10 et 19 salariés,2022,3394,happycolis.com,2653132,-491145,2023
WIND RIVER,Édition,1996-10-16,"SARL, société à responsabilité limitée",MASSY,Entre 10 et 19 salariés,2022,2581122.54,,4552676,405894,2024
PAYOFFICE FR,Édition,2010-10-01,"SARL, société à responsabilité limitée",FORT-DE-FRANCE,Entre 10 et 19 salariés,2022,7500,,,-82128,2022
19 D,Édition,2014-01-15,"SAS, société par actions simplifiée",LILLE,Entre 20 et 49 salariés,2022,300000,,4551681,-3631737,2023
FAVEOD,Édition,2007-02-20,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,1000000,,3765905,1820642,2024
