nom_entreprise,domaine_activite,date_creation,forme_juridique,ville_siege,effectif,annee_effectif,capital,sites_internet,chiffre_affaires,resultat,annee_finances
EPSD,Édition,2018-09-07,"SAS, société par actions simplifiée",DIJON,Entre 10 et 19 salariés,2022,6250,"bloomee.fr, jro-bfc.fr",,5575,2024
SITACI,Édition,1987-06-11,"SAS, société par actions simplifiée",HAUTE-GOULAINE,Entre 20 et 49 salariés,2022,350000,sitaci.fr,,959871,2025
SENTIMY,Édition,2015-09-01,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 20 et 49 salariés,2022,5409.81,supermood.com,,56936,2024
CGTECH,Édition,1996-01-02,"SARL, société à responsabilité limitée",RUEIL-MALMAISON,Entre 10 et 19 salariés,2022,15000,"cgtech.fr, vericut.fr",4057223,280463,2024
QUCIT,Édition,2014-05-23,"SAS, société par actions simplifiée",BORDEAUX,Entre 10 et 19 salariés,2022,194017.88,qucit.com,,564771,2024
QUASAR SOLUTIONS,Édition,1983-01-01,"SAS, société par actions simplifiée",ANNECY,Entre 10 et 19 salariés,2022,681200,quasar-solutions.fr,1760714,52213,2024
AXOMOVE,Édition,2017-04-01,"SAS, société par actions simplifiée",LILLE,Entre 10 et 19 salariés,2022,63214,axomove.com,,-339559,2024
PROKOV EDITIONS,Édition,1987-09-01,"SASU, société par actions simplifiée unipersonnelle",NANCY,Entre 10 et 19 salariés,2022,500000,medistory.com,4828539,435169,2024
ORONE FRANCE,Édition,2010-02-22,"SAS, société par actions simplifiée",LE PETIT-QUEVILLY,Entre 20 et 49 salariés,2022,1250000,,4956666,652433,2024
COOPENGO SAS,Édition,2012-07-01,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,105000,coopengo.com,,4383,2024
STREAMWIDE FRANCE,Édition,2011-06-27,"SASU, société par actions simplifiée unipersonnelle",PARIS,Entre 20 et 49 salariés,2022,3050518,,7778291,1694005,2024
TURBO,Édition,1995-09-30,"SAS, société par actions simplifiée",BOULOGNE-BILLANCOURT,Entre 10 et 19 salariés,2022,240000,,5100893,639780,2024
AGX INFORMATIQUE,Édition,1987-01-01,"SARL, société à responsabilité limitée",TOULOUSE,Entre 10 et 19 salariés,2022,7637.7,"sarool.fr, agx.fr",2345755,784203,2025
IMPACT,Édition,2012-06-06,"SASU, société par actions simplifiée unipersonnelle",ORLEANS,Entre 20 et 49 salariés,2022,15000,sas-impact.fr,,1400566,2024
DAYLINDO,Édition,2017-06-07,"SAS, société par actions simplifiée",ILLKIRCH-GRAFFENSTADEN,Entre 10 et 19 salariés,2022,360000,"daylindo.com, daylindo.education",,-319618,2023
J2S SARL,Édition,1999-09-14,"SARL, société à responsabilité limitée",LILLE,Entre 10 et 19 salariés,2022,500000,j2s.net,,324522,2024
FRONTBOX,Édition,2015-11-25,"SAS, société par actions simplifiée",SAINT-MANDE,Entre 10 et 19 salariés,2022,1712.7,,,30411,2023
SKAP ID,Édition,2014-10-12,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,10257,,1456766,65190,2024
INTELLIGENCE+,Édition,2016-05-25,"SAS, société par actions simplifiée",PARIS,Entre 20 et 49 salariés,2022,40570.2,,1049,-189683,2017
HELKINZ,Édition,2015-01-01,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,10000,helkinz.com,,211760,2024
INFICO,Édition,1986-05-02,"SAS, société par actions simplifiée",BACHY,Entre 10 et 19 salariés,2022,15000,infico.fr,,499,2024
LUMISCAPHE,Édition,2001-11-12,"SAS, société par actions simplifiée",CANEJAN,Entre 20 et 49 salariés,2022,231820,lumiscaphe.com,2050105,227056,2024
NETEVEN,Édition,2005-12-01,SA à directoire (s.a.i.),PARIS,Entre 20 et 49 salariés,2022,261207,neteven.com,3055085,-1359388,2024
KNOWINGS,Édition,1999-03-30,"SAS, société par actions simplifiée",LE BOURGET-DU-LAC,Entre 10 et 19 salariés,2022,69417.5,knowings.net,2175492,52126,2024
LINEDATA SERVICES,Édition,1997-12-22,SA à conseil d'administration (s.a.i.),NEUILLY-SUR-SEINE,Entre 10 et 19 salariés,2022,4960807,linedata.com,11811000,13638000,2024
LORE FINANCE,Édition,2009-02-01,"SAS, société par actions simplifiée",BOULOGNE-BILLANCOURT,Entre 10 et 19 salariés,2022,60800,"lore.fr, lore-finance.com, apoca.fr",5501440,1873977,2024
SOLARE IT FRANCE,Édition,1997-07-01,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,100000,solare-it.fr,,223636,2024
DAVI,Édition,2000-11-13,"SAS, société par actions simplifiée",PUTEAUX,Entre 20 et 49 salariés,2022,72904,"3dswipe.fr, davi.ai, 3dswipe.com",1407154,233360,2024
OXALYS TECHNOLOGIES,Édition,2004-04-01,"SAS, société par actions simplifiée",LA GARENNE-COLOMBES,Entre 20 et 49 salariés,2022,363350,oxalys.fr,5311345,267800,2024
PROGISEM,Édition,1986-04-01,"SAS, société par actions simplifiée",ENTZHEIM,Entre 20 et 49 salariés,2022,200000,progisem.com,3007333,306555,2024
AITENDERS,Édition,2019-01-02,"SAS, société par actions simplifiée",SAINT-ETIENNE,Entre 20 et 49 salariés,2022,2373.4,aitenders.com,,-7008,2024
EBRIGADE TECHNOLOGIES,Édition,2020-09-02,"SAS, société par actions simplifiée",PARIS,Entre 10 et 19 salariés,2022,10000,ebrigade.app,,,
FORECOMM,Édition,2007-07-25,"SARL, société à responsabilité limitée",BUSSY-SAINT-GEORGES,Entre 10 et 19 salariés,2022,1340000,"forecomm.net, mymozzo.net, bluefiles.com",1962498,91464,2024
TIXEO,Édition,2003-11-27,"SAS, société par actions simplifiée",MONTPELLIER,Entre 20 et 49 salariés,2022,70000,tixeo.com,,784057,2024
